processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Core™ Ultra 7 Processor 265U (12M Cache- up to 5.30 GHz),Core_Ultra_Processors,12,14,5.3,2.4,12.0,15.0,57.0,1195.0,128.0,2.1,72.0,Mobile,0.35333333333333333,0.8,1.0
Intel® Core™ Ultra 7 Processor 265 (30M Cache- up to 5.30 GHz),Core_Ultra_Processors,20,20,5.3,2.4,30.0,65.0,182.0,384.0,256.0,1.95,72.0,Desktop,0.08153846153846153,0.3076923076923077,1.5
Intel® Core™ Ultra 7 Processor 266V (12M Cache- up to 5.00 GHz),Core_Ultra_Processors,8,8,5.0,2.4,12.0,17.0,37.0,1195.0,16.0,2.0,72.0,Mobile,0.29411764705882354,0.47058823529411764,1.5
Intel® Core™ Ultra 7 Processor 268V (12M Cache- up to 5.00 GHz),Core_Ultra_Processors,8,8,5.0,2.4,12.0,17.0,37.0,1195.0,32.0,2.0,72.0,Mobile,0.29411764705882354,0.47058823529411764,1.5
Intel® Core™ Ultra 9 Processor 275HX (36M Cache- up to 5.40 GHz),Core_Ultra_Processors,24,24,5.4,2.4,36.0,55.0,160.0,1195.0,256.0,1.9,72.0,Mobile,0.09818181818181819,0.43636363636363634,1.5
Intel® Core™ Ultra 9 Processor 285HX (36M Cache- up to 5.50 GHz),Core_Ultra_Processors,24,24,5.5,2.4,36.0,55.0,160.0,1195.0,256.0,2.0,72.0,Mobile,0.1,0.43636363636363634,1.5
Intel® Core™ Ultra 9 Processor 285H (24M Cache- up to 5.40 GHz),Core_Ultra_Processors,16,16,5.4,2.4,24.0,45.0,115.0,1195.0,128.0,2.35,72.0,Mobile,0.12000000000000001,0.35555555555555557,1.5
Intel® Core™ Ultra 9 Processor 285K (36M Cache- up to 5.70 GHz),Core_Ultra_Processors,24,24,5.7,2.4,36.0,125.0,250.0,589.0,256.0,2.0,72.0,Desktop,0.0456,0.192,1.5
Intel® Core™ Ultra 9 Processor 285T (36M Cache- up to 5.40 GHz),Core_Ultra_Processors,24,24,5.4,2.4,36.0,35.0,112.0,549.0,256.0,2.0,72.0,Desktop,0.1542857142857143,0.6857142857142857,1.5
Intel® Core™ Ultra 9 Processor 285 (36M Cache- up to 5.60 GHz),Core_Ultra_Processors,24,24,5.6,2.4,36.0,65.0,182.0,549.0,256.0,2.0,72.0,Desktop,0.08615384615384615,0.36923076923076925,1.5
